,0,1,2,micro avg,macro avg,weighted avg
precision,0.24,0.0,0.0,0.24,0.08,0.0576
recall,1.0,0.0,0.0,0.24,0.3333333333333333,0.24
f1-score,0.3870967741935484,0.0,0.0,0.24,0.12903225806451613,0.0929032258064516
support,6.0,0.0,19.0,25.0,25.0,25.0
specificity,1.0,0.0,0.76,,0.5866666666666667,0.7228783552255854
