,0,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.24,0.24,0.08,0.0576
recall,0.0,0.0,1.0,0.24,0.3333333333333333,0.24
f1-score,0.0,0.0,0.3870967741935484,0.24,0.12903225806451613,0.0929032258064516
support,16.0,3.0,6.0,0.24,25.0,25.0
specificity,0.64,0.12,1.0,0.24,0.5866666666666667,0.7384351798972016
