,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.9,0.9,0.3,0.8099999999999999
recall,0.0,0.0,1.0,0.9,0.3333333333333333,0.9
f1-score,0.0,0.0,0.9473684210526316,0.9,0.31578947368421056,0.8526315789473685
support,2.0,0.0,18.0,20.0,20.0,20.0
specificity,0.09999999999999998,0.0,1.0,,0.3666666666666667,0.5345516847515706
