,0,1,2,accuracy,macro avg,weighted avg
precision,0.53,0.41454545454545455,0.8721461187214612,0.683038263849229,0.6055638577556386,0.7506305475919709
recall,0.7162162162162162,0.8571428571428571,0.6507666098807495,0.683038263849229,0.7413752277466076,0.683038263849229
f1-score,0.6091954022988506,0.5588235294117647,0.7453658536585365,0.683038263849229,0.6377949284563839,0.6966680755154632
support,444.0,133.0,1174.0,0.683038263849229,1751.0,1751.0
specificity,0.1094700260642919,0.01287262872628725,0.4685714285714285,0.683038263849229,0.19697136112066924,0.27395234721123674
