,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.96,0.0,0.96,0.32,0.9216
recall,0.0,1.0,0.0,0.96,0.3333333333333333,0.96
f1-score,0.0,0.9795918367346939,0.0,0.96,0.32653061224489793,0.9404081632653061
support,1.0,24.0,0.0,25.0,25.0,25.0
specificity,0.040000000000000036,1.0,0.0,,0.3466666666666667,0.17075956596230726
