,0,1,2,micro avg,macro avg,weighted avg
precision,0.08,0.0,0.0,0.08,0.02666666666666667,0.0064
recall,1.0,0.0,0.0,0.08,0.3333333333333333,0.08
f1-score,0.14814814814814814,0.0,0.0,0.08,0.04938271604938271,0.011851851851851851
support,2.0,0.0,23.0,25.0,25.0,25.0
specificity,1.0,0.0,0.92,,0.64,0.8029240434037693
