,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.44,0.44,0.14666666666666667,0.1936
recall,0.0,0.0,1.0,0.44,0.3333333333333333,0.44
f1-score,0.0,0.0,0.6111111111111112,0.44,0.20370370370370372,0.26888888888888896
support,14.0,0.0,11.0,25.0,25.0,25.0
specificity,0.56,0.0,1.0,,0.52,0.692175899486008
