,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.6,0.6,0.19999999999999998,0.36
recall,0.0,0.0,1.0,0.6,0.3333333333333333,0.6
f1-score,0.0,0.0,0.7499999999999999,0.6,0.24999999999999997,0.44999999999999996
support,10.0,0.0,15.0,25.0,25.0,25.0
specificity,0.4,0.0,1.0,,0.4666666666666666,0.6373500856653341
