,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.68,0.68,0.22666666666666668,0.46240000000000003
recall,0.0,0.0,1.0,0.68,0.3333333333333333,0.68
f1-score,0.0,0.0,0.8095238095238095,0.68,0.2698412698412698,0.5504761904761906
support,8.0,0.0,17.0,25.0,25.0,25.0
specificity,0.31999999999999995,0.0,1.0,,0.43999999999999995,0.6099371787549972
