,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.92,0.0,0.92,0.3066666666666667,0.8464
recall,0.0,1.0,0.0,0.92,0.3333333333333333,0.92
f1-score,0.0,0.9583333333333334,0.0,0.92,0.3194444444444445,0.8816666666666667
support,0.0,23.0,2.0,25.0,25.0,25.0
specificity,0.0,1.0,0.07999999999999996,,0.36000000000000004,0.1970759565962307
