,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.8,0.0,0.8,0.26666666666666666,0.64
recall,0.0,1.0,0.0,0.8,0.3333333333333333,0.8
f1-score,0.0,0.888888888888889,0.0,0.8000000000000002,0.29629629629629634,0.7111111111111111
support,0.0,20.0,5.0,25.0,25.0,25.0
specificity,0.0,1.0,0.19999999999999996,,0.39999999999999997,0.2571102227298686
