,0,1,2,micro avg,macro avg,weighted avg
precision,0.76,0.0,0.0,0.76,0.25333333333333335,0.5776
recall,1.0,0.0,0.0,0.76,0.3333333333333333,0.76
f1-score,0.8636363636363636,0.0,0.0,0.76,0.2878787878787879,0.6563636363636364
support,19.0,0.0,6.0,25.0,25.0,25.0
specificity,1.0,0.0,0.24,,0.41333333333333333,0.4627298686464877
