,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.88,0.88,0.29333333333333333,0.7744
recall,0.0,0.0,1.0,0.88,0.3333333333333333,0.88
f1-score,0.0,0.0,0.9361702127659575,0.88,0.3120567375886525,0.8238297872340425
support,3.0,0.0,22.0,25.0,25.0,25.0
specificity,0.12,0.0,1.0,,0.37333333333333335,0.5414049114791548
