,0,1,2,accuracy,macro avg,weighted avg
precision,0.5833333333333334,0.5,0.8888888888888888,0.7285714285714285,0.6574074074074074,0.7825396825396825
recall,0.7777777777777778,1.0,0.6808510638297872,0.7285714285714285,0.8195429472025216,0.7285714285714285
f1-score,0.6666666666666666,0.6666666666666666,0.7710843373493975,0.7285714285714285,0.7014725568942436,0.7367756741250716
support,18.0,5.0,47.0,0.7285714285714285,70.0,70.0
specificity,0.08695652173913049,0.0,0.4411764705882353,0.7285714285714285,0.1760443307757886,0.25051085167262843
