,0,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.04,0.0,0.04,0.013333333333333334,0.0016
recall,0.0,1.0,0.0,0.04,0.3333333333333333,0.04
f1-score,0.0,0.07692307692307693,0.0,0.04,0.025641025641025644,0.003076923076923077
support,4.0,1.0,20.0,0.04,25.0,25.0
specificity,0.16000000000000003,1.0,0.8,0.04,0.6533333333333334,0.6121073672187323
