,0,1,2,micro avg,macro avg,weighted avg
precision,0.12,0.0,0.0,0.12,0.04,0.0144
recall,1.0,0.0,0.0,0.12,0.3333333333333333,0.12
f1-score,0.21428571428571425,0.0,0.0,0.12,0.07142857142857141,0.02571428571428571
support,3.0,0.0,22.0,25.0,25.0,25.0
specificity,1.0,0.0,0.88,,0.6266666666666666,0.7829126213592232
