,0,1,2,accuracy,macro avg,weighted avg
precision,0.48,0.0,0.0,0.48,0.16,0.2304
recall,1.0,0.0,0.0,0.48,0.3333333333333333,0.48
f1-score,0.6486486486486487,0.0,0.0,0.48,0.21621621621621623,0.3113513513513514
support,12.0,4.0,9.0,0.48,25.0,25.0
specificity,1.0,0.16000000000000003,0.36,0.48,0.5066666666666667,0.5478926327812679
