,0,1,2,micro avg,macro avg,weighted avg
precision,0.16,0.0,0.0,0.16,0.05333333333333334,0.0256
recall,1.0,0.0,0.0,0.16,0.3333333333333333,0.16
f1-score,0.2758620689655173,0.0,0.0,0.16,0.09195402298850576,0.04413793103448277
support,4.0,0.0,21.0,25.0,25.0,25.0
specificity,1.0,0.0,0.84,,0.6133333333333333,0.7629011993146773
