,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.64,0.64,0.21333333333333335,0.4096
recall,0.0,0.0,1.0,0.64,0.3333333333333333,0.64
f1-score,0.0,0.0,0.7804878048780487,0.64,0.26016260162601623,0.49951219512195116
support,9.0,0.0,16.0,25.0,25.0,25.0
specificity,0.36,0.0,1.0,,0.4533333333333333,0.6236436322101656
