,0,1,2,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.36,0.36,0.12,0.1296
recall,0.0,0.0,1.0,0.36,0.3333333333333333,0.36
f1-score,0.0,0.0,0.5294117647058824,0.36,0.17647058823529413,0.19058823529411764
support,16.0,0.0,9.0,25.0,25.0,25.0
specificity,0.64,0.0,1.0,,0.5466666666666667,0.7195888063963449
